,Rating,Description,no_contract,rating_description_str,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
101,5,Superb mobile..better than realme..oppo.,"['Superb', 'mobile..better', 'than', 'realme..oppo.']",Superb mobile..better than realme..oppo.,"['Superb', 'mobile..better', 'than', 'realme..oppo', '.']","['superb', 'mobile..better', 'than', 'realme..oppo', '.']","['superb', 'mobile..better', 'than', 'realme..oppo']","['superb', 'mobile..better', 'realme..oppo']","[('superb', 'NN'), ('mobile..better', 'NN'), ('realme..oppo', 'NN')]","[('superb', 'n'), ('mobile..better', 'n'), ('realme..oppo', 'n')]","['superb', 'mobile..better', 'realme..oppo']"
102,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
103,5,Worth for this amount,"['Worth', 'for', 'this', 'amount']",Worth for this amount,"['Worth', 'for', 'this', 'amount']","['worth', 'for', 'this', 'amount']","['worth', 'for', 'this', 'amount']","['worth', 'amount']","[('worth', 'NN'), ('amount', 'NN')]","[('worth', 'n'), ('amount', 'n')]","['worth', 'amount']"
104,5,delivery boy is so gud,"['delivery', 'boy', 'is', 'so', 'gud']",delivery boy is so gud,"['delivery', 'boy', 'is', 'so', 'gud']","['delivery', 'boy', 'is', 'so', 'gud']","['delivery', 'boy', 'is', 'so', 'gud']","['delivery', 'boy', 'gud']","[('delivery', 'NN'), ('boy', 'NN'), ('gud', 'NN')]","[('delivery', 'n'), ('boy', 'n'), ('gud', 'n')]","['delivery', 'boy', 'gud']"
105,5,Nice phone but camera quality is not sure for money,"['Nice', 'phone', 'but', 'camera', 'quality', 'is', 'not', 'sure', 'for', 'money']",Nice phone but camera quality is not sure for money,"['Nice', 'phone', 'but', 'camera', 'quality', 'is', 'not', 'sure', 'for', 'money']","['nice', 'phone', 'but', 'camera', 'quality', 'is', 'not', 'sure', 'for', 'money']","['nice', 'phone', 'but', 'camera', 'quality', 'is', 'not', 'sure', 'for', 'money']","['nice', 'phone', 'camera', 'quality', 'sure', 'money']","[('nice', 'JJ'), ('phone', 'NN'), ('camera', 'NN'), ('quality', 'NN'), ('sure', 'JJ'), ('money', 'NN')]","[('nice', 'a'), ('phone', 'n'), ('camera', 'n'), ('quality', 'n'), ('sure', 'a'), ('money', 'n')]","['nice', 'phone', 'camera', 'quality', 'sure', 'money']"
106,5,Hvy phone,"['Hvy', 'phone']",Hvy phone,"['Hvy', 'phone']","['hvy', 'phone']","['hvy', 'phone']","['hvy', 'phone']","[('hvy', 'NN'), ('phone', 'NN')]","[('hvy', 'n'), ('phone', 'n')]","['hvy', 'phone']"
107,4,Good budget phone,"['Good', 'budget', 'phone']",Good budget phone,"['Good', 'budget', 'phone']","['good', 'budget', 'phone']","['good', 'budget', 'phone']","['good', 'budget', 'phone']","[('good', 'JJ'), ('budget', 'NN'), ('phone', 'NN')]","[('good', 'a'), ('budget', 'n'), ('phone', 'n')]","['good', 'budget', 'phone']"
108,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
109,5,Very good nice nice,"['Very', 'good', 'nice', 'nice']",Very good nice nice,"['Very', 'good', 'nice', 'nice']","['very', 'good', 'nice', 'nice']","['very', 'good', 'nice', 'nice']","['good', 'nice', 'nice']","[('good', 'JJ'), ('nice', 'JJ'), ('nice', 'NN')]","[('good', 'a'), ('nice', 'a'), ('nice', 'n')]","['good', 'nice', 'nice']"
110,5,1)Phone battery remains  2 days for normal users,"['1)Phone', 'battery', 'remains', '2', 'days', 'for', 'normal', 'users']",1)Phone battery remains 2 days for normal users,"['1', ')', 'Phone', 'battery', 'remains', '2', 'days', 'for', 'normal', 'users']","['1', ')', 'phone', 'battery', 'remains', '2', 'days', 'for', 'normal', 'users']","['1', 'phone', 'battery', 'remains', '2', 'days', 'for', 'normal', 'users']","['1', 'phone', 'battery', 'remains', '2', 'days', 'normal', 'users']","[('1', 'CD'), ('phone', 'NN'), ('battery', 'NN'), ('remains', 'VBZ'), ('2', 'CD'), ('days', 'NNS'), ('normal', 'JJ'), ('users', 'NNS')]","[('1', 'n'), ('phone', 'n'), ('battery', 'n'), ('remains', 'v'), ('2', 'n'), ('days', 'n'), ('normal', 'a'), ('users', 'n')]","['1', 'phone', 'battery', 'remain', '2', 'day', 'normal', 'user']"
111,5,Camra and display  and sound dts all are 5 star Nice phone,"['Camra', 'and', 'display', 'and', 'sound', 'dts', 'all', 'are', '5', 'star', 'Nice', 'phone']",Camra and display and sound dts all are 5 star Nice phone,"['Camra', 'and', 'display', 'and', 'sound', 'dts', 'all', 'are', '5', 'star', 'Nice', 'phone']","['camra', 'and', 'display', 'and', 'sound', 'dts', 'all', 'are', '5', 'star', 'nice', 'phone']","['camra', 'and', 'display', 'and', 'sound', 'dts', 'all', 'are', '5', 'star', 'nice', 'phone']","['camra', 'display', 'sound', 'dts', '5', 'star', 'nice', 'phone']","[('camra', 'NN'), ('display', 'NN'), ('sound', 'VBD'), ('dts', 'JJ'), ('5', 'CD'), ('star', 'NN'), ('nice', 'JJ'), ('phone', 'NN')]","[('camra', 'n'), ('display', 'n'), ('sound', 'v'), ('dts', 'a'), ('5', 'n'), ('star', 'n'), ('nice', 'a'), ('phone', 'n')]","['camra', 'display', 'sound', 'dts', '5', 'star', 'nice', 'phone']"
112,4,Good  quality camera,"['Good', 'quality', 'camera']",Good quality camera,"['Good', 'quality', 'camera']","['good', 'quality', 'camera']","['good', 'quality', 'camera']","['good', 'quality', 'camera']","[('good', 'JJ'), ('quality', 'NN'), ('camera', 'NN')]","[('good', 'a'), ('quality', 'n'), ('camera', 'n')]","['good', 'quality', 'camera']"
113,5,I really liked it,"['I', 'really', 'liked', 'it']",I really liked it,"['I', 'really', 'liked', 'it']","['i', 'really', 'liked', 'it']","['i', 'really', 'liked', 'it']","['really', 'liked']","[('really', 'RB'), ('liked', 'JJ')]","[('really', 'r'), ('liked', 'a')]","['really', 'liked']"
114,5,Very nice,"['Very', 'nice']",Very nice,"['Very', 'nice']","['very', 'nice']","['very', 'nice']",['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
115,5,Excellent and very good price,"['Excellent', 'and', 'very', 'good', 'price']",Excellent and very good price,"['Excellent', 'and', 'very', 'good', 'price']","['excellent', 'and', 'very', 'good', 'price']","['excellent', 'and', 'very', 'good', 'price']","['excellent', 'good', 'price']","[('excellent', 'JJ'), ('good', 'JJ'), ('price', 'NN')]","[('excellent', 'a'), ('good', 'a'), ('price', 'n')]","['excellent', 'good', 'price']"
116,5,Very beautiful looking piece,"['Very', 'beautiful', 'looking', 'piece']",Very beautiful looking piece,"['Very', 'beautiful', 'looking', 'piece']","['very', 'beautiful', 'looking', 'piece']","['very', 'beautiful', 'looking', 'piece']","['beautiful', 'looking', 'piece']","[('beautiful', 'JJ'), ('looking', 'VBG'), ('piece', 'NN')]","[('beautiful', 'a'), ('looking', 'v'), ('piece', 'n')]","['beautiful', 'look', 'piece']"
117,5,Very good product I love it value of money 😍should try.,"['Very', 'good', 'product', 'I', 'love', 'it', 'value', 'of', 'money', '😍should', 'try.']",Very good product I love it value of money 😍should try.,"['Very', 'good', 'product', 'I', 'love', 'it', 'value', 'of', 'money', '😍should', 'try', '.']","['very', 'good', 'product', 'i', 'love', 'it', 'value', 'of', 'money', '😍should', 'try', '.']","['very', 'good', 'product', 'i', 'love', 'it', 'value', 'of', 'money', '😍should', 'try']","['good', 'product', 'love', 'value', 'money', '😍should', 'try']","[('good', 'JJ'), ('product', 'NN'), ('love', 'VB'), ('value', 'NN'), ('money', 'NN'), ('😍should', 'CD'), ('try', 'NN')]","[('good', 'a'), ('product', 'n'), ('love', 'v'), ('value', 'n'), ('money', 'n'), ('😍should', 'n'), ('try', 'n')]","['good', 'product', 'love', 'value', 'money', '😍should', 'try']"
118,4,Overall smartphone is very good performance is great but camera quality isn't good,"['Overall', 'smartphone', 'is', 'very', 'good', 'performance', 'is', 'great', 'but', 'camera', 'quality', 'is not', 'good']",Overall smartphone is very good performance is great but camera quality is not good,"['Overall', 'smartphone', 'is', 'very', 'good', 'performance', 'is', 'great', 'but', 'camera', 'quality', 'is', 'not', 'good']","['overall', 'smartphone', 'is', 'very', 'good', 'performance', 'is', 'great', 'but', 'camera', 'quality', 'is', 'not', 'good']","['overall', 'smartphone', 'is', 'very', 'good', 'performance', 'is', 'great', 'but', 'camera', 'quality', 'is', 'not', 'good']","['overall', 'smartphone', 'good', 'performance', 'great', 'camera', 'quality', 'good']","[('overall', 'JJ'), ('smartphone', 'NN'), ('good', 'JJ'), ('performance', 'NN'), ('great', 'JJ'), ('camera', 'NN'), ('quality', 'NN'), ('good', 'JJ')]","[('overall', 'a'), ('smartphone', 'n'), ('good', 'a'), ('performance', 'n'), ('great', 'a'), ('camera', 'n'), ('quality', 'n'), ('good', 'a')]","['overall', 'smartphone', 'good', 'performance', 'great', 'camera', 'quality', 'good']"
119,3,"Mobile is heavy, camera quality is very low it is not upto the mark of 48 MP, front camera is average......","['Mobile', 'is', 'heavy,', 'camera', 'quality', 'is', 'very', 'low', 'it', 'is', 'not', 'upto', 'the', 'mark', 'of', '48', 'MP,', 'front', 'camera', 'is', 'average......']","Mobile is heavy, camera quality is very low it is not upto the mark of 48 MP, front camera is average......","['Mobile', 'is', 'heavy', ',', 'camera', 'quality', 'is', 'very', 'low', 'it', 'is', 'not', 'upto', 'the', 'mark', 'of', '48', 'MP', ',', 'front', 'camera', 'is', 'average', '...', '...']","['mobile', 'is', 'heavy', ',', 'camera', 'quality', 'is', 'very', 'low', 'it', 'is', 'not', 'upto', 'the', 'mark', 'of', '48', 'mp', ',', 'front', 'camera', 'is', 'average', '...', '...']","['mobile', 'is', 'heavy', 'camera', 'quality', 'is', 'very', 'low', 'it', 'is', 'not', 'upto', 'the', 'mark', 'of', '48', 'mp', 'front', 'camera', 'is', 'average', '...', '...']","['mobile', 'heavy', 'camera', 'quality', 'low', 'upto', 'mark', '48', 'mp', 'front', 'camera', 'average', '...', '...']","[('mobile', 'JJ'), ('heavy', 'JJ'), ('camera', 'NN'), ('quality', 'NN'), ('low', 'JJ'), ('upto', 'JJ'), ('mark', 'NN'), ('48', 'CD'), ('mp', 'NN'), ('front', 'NN'), ('camera', 'NN'), ('average', 'NN'), ('...', ':'), ('...', ':')]","[('mobile', 'a'), ('heavy', 'a'), ('camera', 'n'), ('quality', 'n'), ('low', 'a'), ('upto', 'a'), ('mark', 'n'), ('48', 'n'), ('mp', 'n'), ('front', 'n'), ('camera', 'n'), ('average', 'n'), ('...', 'n'), ('...', 'n')]","['mobile', 'heavy', 'camera', 'quality', 'low', 'upto', 'mark', '48', 'mp', 'front', 'camera', 'average', '...', '...']"
120,5,super,['super'],super,['super'],['super'],['super'],['super'],"[('super', 'NN')]","[('super', 'n')]",['super']
121,5,It's just awesome....above expectation....even didn’t know how it could be when ordered. But proved Marvelous....really great,"['it is', 'just', 'awesome....above', 'expectation....even', 'did not', 'know', 'how', 'it', 'could', 'be', 'when', 'ordered.', 'But', 'proved', 'Marvelous....really', 'great']",it is just awesome....above expectation....even did not know how it could be when ordered. But proved Marvelous....really great,"['it', 'is', 'just', 'awesome', '...', '.above', 'expectation', '...', '.even', 'did', 'not', 'know', 'how', 'it', 'could', 'be', 'when', 'ordered', '.', 'But', 'proved', 'Marvelous', '...', '.really', 'great']","['it', 'is', 'just', 'awesome', '...', '.above', 'expectation', '...', '.even', 'did', 'not', 'know', 'how', 'it', 'could', 'be', 'when', 'ordered', '.', 'but', 'proved', 'marvelous', '...', '.really', 'great']","['it', 'is', 'just', 'awesome', '...', '.above', 'expectation', '...', '.even', 'did', 'not', 'know', 'how', 'it', 'could', 'be', 'when', 'ordered', 'but', 'proved', 'marvelous', '...', '.really', 'great']","['awesome', '...', '.above', 'expectation', '...', '.even', 'know', 'could', 'ordered', 'proved', 'marvelous', '...', '.really', 'great']","[('awesome', 'NN'), ('...', ':'), ('.above', 'JJ'), ('expectation', 'NN'), ('...', ':'), ('.even', 'RB'), ('know', 'VB'), ('could', 'MD'), ('ordered', 'VB'), ('proved', 'VBD'), ('marvelous', 'JJ'), ('...', ':'), ('.really', 'RB'), ('great', 'JJ')]","[('awesome', 'n'), ('...', 'n'), ('.above', 'a'), ('expectation', 'n'), ('...', 'n'), ('.even', 'r'), ('know', 'v'), ('could', 'n'), ('ordered', 'v'), ('proved', 'v'), ('marvelous', 'a'), ('...', 'n'), ('.really', 'r'), ('great', 'a')]","['awesome', '...', '.above', 'expectation', '...', '.even', 'know', 'could', 'order', 'prove', 'marvelous', '...', '.really', 'great']"
122,5,Very nice infinix note 7 thank you flipkart,"['Very', 'nice', 'infinix', 'note', '7', 'thank', 'you', 'flipkart']",Very nice infinix note 7 thank you flipkart,"['Very', 'nice', 'infinix', 'note', '7', 'thank', 'you', 'flipkart']","['very', 'nice', 'infinix', 'note', '7', 'thank', 'you', 'flipkart']","['very', 'nice', 'infinix', 'note', '7', 'thank', 'you', 'flipkart']","['nice', 'infinix', 'note', '7', 'thank', 'flipkart']","[('nice', 'JJ'), ('infinix', 'NN'), ('note', 'NN'), ('7', 'CD'), ('thank', 'NN'), ('flipkart', 'NN')]","[('nice', 'a'), ('infinix', 'n'), ('note', 'n'), ('7', 'n'), ('thank', 'n'), ('flipkart', 'n')]","['nice', 'infinix', 'note', '7', 'thank', 'flipkart']"
123,4,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
124,5,Best phone nice look pubg game run fine no lag pubg run 60 fps  in gfx tools no lag warking fine i am happy,"['Best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'no', 'lag', 'pubg', 'run', '60', 'fps', 'in', 'gfx', 'tools', 'no', 'lag', 'warking', 'fine', 'i', 'am', 'happy']",Best phone nice look pubg game run fine no lag pubg run 60 fps in gfx tools no lag warking fine i am happy,"['Best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'no', 'lag', 'pubg', 'run', '60', 'fps', 'in', 'gfx', 'tools', 'no', 'lag', 'warking', 'fine', 'i', 'am', 'happy']","['best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'no', 'lag', 'pubg', 'run', '60', 'fps', 'in', 'gfx', 'tools', 'no', 'lag', 'warking', 'fine', 'i', 'am', 'happy']","['best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'no', 'lag', 'pubg', 'run', '60', 'fps', 'in', 'gfx', 'tools', 'no', 'lag', 'warking', 'fine', 'i', 'am', 'happy']","['best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'lag', 'pubg', 'run', '60', 'fps', 'gfx', 'tools', 'lag', 'warking', 'fine', 'happy']","[('best', 'JJS'), ('phone', 'NN'), ('nice', 'JJ'), ('look', 'NN'), ('pubg', 'JJ'), ('game', 'NN'), ('run', 'VB'), ('fine', 'JJ'), ('lag', 'NN'), ('pubg', 'NN'), ('run', 'VB'), ('60', 'CD'), ('fps', 'JJ'), ('gfx', 'NN'), ('tools', 'NNS'), ('lag', 'VBP'), ('warking', 'VBG'), ('fine', 'NN'), ('happy', 'JJ')]","[('best', 'a'), ('phone', 'n'), ('nice', 'a'), ('look', 'n'), ('pubg', 'a'), ('game', 'n'), ('run', 'v'), ('fine', 'a'), ('lag', 'n'), ('pubg', 'n'), ('run', 'v'), ('60', 'n'), ('fps', 'a'), ('gfx', 'n'), ('tools', 'n'), ('lag', 'v'), ('warking', 'v'), ('fine', 'n'), ('happy', 'a')]","['best', 'phone', 'nice', 'look', 'pubg', 'game', 'run', 'fine', 'lag', 'pubg', 'run', '60', 'fps', 'gfx', 'tool', 'lag', 'warking', 'fine', 'happy']"
125,5,Super mobile,"['Super', 'mobile']",Super mobile,"['Super', 'mobile']","['super', 'mobile']","['super', 'mobile']","['super', 'mobile']","[('super', 'NN'), ('mobile', 'NN')]","[('super', 'n'), ('mobile', 'n')]","['super', 'mobile']"
126,5,Excellent mobile,"['Excellent', 'mobile']",Excellent mobile,"['Excellent', 'mobile']","['excellent', 'mobile']","['excellent', 'mobile']","['excellent', 'mobile']","[('excellent', 'NN'), ('mobile', 'NN')]","[('excellent', 'n'), ('mobile', 'n')]","['excellent', 'mobile']"
127,5,Better than i expected 😌,"['Better', 'than', 'i', 'expected', '😌']",Better than i expected 😌,"['Better', 'than', 'i', 'expected', '😌']","['better', 'than', 'i', 'expected', '😌']","['better', 'than', 'i', 'expected', '😌']","['better', 'expected', '😌']","[('better', 'RB'), ('expected', 'VBN'), ('😌', 'NN')]","[('better', 'r'), ('expected', 'v'), ('😌', 'n')]","['well', 'expect', '😌']"
128,5,Good one ,"['Good', 'one']",Good one,"['Good', 'one']","['good', 'one']","['good', 'one']","['good', 'one']","[('good', 'JJ'), ('one', 'CD')]","[('good', 'a'), ('one', 'n')]","['good', 'one']"
129,5,So big phone😍... Loving it... Amazing performance... Big screen... Big battery... Good job Infinix....,"['So', 'big', 'phone😍...', 'Loving', 'it...', 'Amazing', 'performance...', 'Big', 'screen...', 'Big', 'battery...', 'Good', 'job', 'Infinix....']",So big phone😍... Loving it... Amazing performance... Big screen... Big battery... Good job Infinix....,"['So', 'big', 'phone😍', '...', 'Loving', 'it', '...', 'Amazing', 'performance', '...', 'Big', 'screen', '...', 'Big', 'battery', '...', 'Good', 'job', 'Infinix', '...', '.']","['so', 'big', 'phone😍', '...', 'loving', 'it', '...', 'amazing', 'performance', '...', 'big', 'screen', '...', 'big', 'battery', '...', 'good', 'job', 'infinix', '...', '.']","['so', 'big', 'phone😍', '...', 'loving', 'it', '...', 'amazing', 'performance', '...', 'big', 'screen', '...', 'big', 'battery', '...', 'good', 'job', 'infinix', '...']","['big', 'phone😍', '...', 'loving', '...', 'amazing', 'performance', '...', 'big', 'screen', '...', 'big', 'battery', '...', 'good', 'job', 'infinix', '...']","[('big', 'JJ'), ('phone😍', 'NN'), ('...', ':'), ('loving', 'NN'), ('...', ':'), ('amazing', 'JJ'), ('performance', 'NN'), ('...', ':'), ('big', 'JJ'), ('screen', 'NN'), ('...', ':'), ('big', 'JJ'), ('battery', 'NN'), ('...', ':'), ('good', 'JJ'), ('job', 'NN'), ('infinix', 'NNS'), ('...', ':')]","[('big', 'a'), ('phone😍', 'n'), ('...', 'n'), ('loving', 'n'), ('...', 'n'), ('amazing', 'a'), ('performance', 'n'), ('...', 'n'), ('big', 'a'), ('screen', 'n'), ('...', 'n'), ('big', 'a'), ('battery', 'n'), ('...', 'n'), ('good', 'a'), ('job', 'n'), ('infinix', 'n'), ('...', 'n')]","['big', 'phone😍', '...', 'loving', '...', 'amazing', 'performance', '...', 'big', 'screen', '...', 'big', 'battery', '...', 'good', 'job', 'infinix', '...']"
130,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
131,4,Good phone,"['Good', 'phone']",Good phone,"['Good', 'phone']","['good', 'phone']","['good', 'phone']","['good', 'phone']","[('good', 'JJ'), ('phone', 'NN')]","[('good', 'a'), ('phone', 'n')]","['good', 'phone']"
132,5,Very very good mobile thank you so much infinix company.nice mobalile me is mobile KO 100me we 100 point details hu.,"['Very', 'very', 'good', 'mobile', 'thank', 'you', 'so', 'much', 'infinix', 'company.nice', 'mobalile', 'me', 'is', 'mobile', 'KO', '100me', 'we', '100', 'point', 'details', 'hu.']",Very very good mobile thank you so much infinix company.nice mobalile me is mobile KO 100me we 100 point details hu.,"['Very', 'very', 'good', 'mobile', 'thank', 'you', 'so', 'much', 'infinix', 'company.nice', 'mobalile', 'me', 'is', 'mobile', 'KO', '100me', 'we', '100', 'point', 'details', 'hu', '.']","['very', 'very', 'good', 'mobile', 'thank', 'you', 'so', 'much', 'infinix', 'company.nice', 'mobalile', 'me', 'is', 'mobile', 'ko', '100me', 'we', '100', 'point', 'details', 'hu', '.']","['very', 'very', 'good', 'mobile', 'thank', 'you', 'so', 'much', 'infinix', 'company.nice', 'mobalile', 'me', 'is', 'mobile', 'ko', '100me', 'we', '100', 'point', 'details', 'hu']","['good', 'mobile', 'thank', 'much', 'infinix', 'company.nice', 'mobalile', 'mobile', 'ko', '100me', '100', 'point', 'details', 'hu']","[('good', 'JJ'), ('mobile', 'NN'), ('thank', 'NN'), ('much', 'JJ'), ('infinix', 'NN'), ('company.nice', 'NN'), ('mobalile', 'NN'), ('mobile', 'JJ'), ('ko', 'VBD'), ('100me', 'CD'), ('100', 'CD'), ('point', 'NN'), ('details', 'NNS'), ('hu', 'VBP')]","[('good', 'a'), ('mobile', 'n'), ('thank', 'n'), ('much', 'a'), ('infinix', 'n'), ('company.nice', 'n'), ('mobalile', 'n'), ('mobile', 'a'), ('ko', 'v'), ('100me', 'n'), ('100', 'n'), ('point', 'n'), ('details', 'n'), ('hu', 'v')]","['good', 'mobile', 'thank', 'much', 'infinix', 'company.nice', 'mobalile', 'mobile', 'ko', '100me', '100', 'point', 'detail', 'hu']"
133,4,This phone is very good,"['This', 'phone', 'is', 'very', 'good']",This phone is very good,"['This', 'phone', 'is', 'very', 'good']","['this', 'phone', 'is', 'very', 'good']","['this', 'phone', 'is', 'very', 'good']","['phone', 'good']","[('phone', 'NN'), ('good', 'JJ')]","[('phone', 'n'), ('good', 'a')]","['phone', 'good']"
134,5,"Mind blowing phone and awesome performance. Camera, speed, sounds all are fine. A great phone for everyone.. must buy","['Mind', 'blowing', 'phone', 'and', 'awesome', 'performance.', 'Camera,', 'speed,', 'sounds', 'all', 'are', 'fine.', 'A', 'great', 'phone', 'for', 'everyone..', 'must', 'buy']","Mind blowing phone and awesome performance. Camera, speed, sounds all are fine. A great phone for everyone.. must buy","['Mind', 'blowing', 'phone', 'and', 'awesome', 'performance', '.', 'Camera', ',', 'speed', ',', 'sounds', 'all', 'are', 'fine', '.', 'A', 'great', 'phone', 'for', 'everyone..', 'must', 'buy']","['mind', 'blowing', 'phone', 'and', 'awesome', 'performance', '.', 'camera', ',', 'speed', ',', 'sounds', 'all', 'are', 'fine', '.', 'a', 'great', 'phone', 'for', 'everyone..', 'must', 'buy']","['mind', 'blowing', 'phone', 'and', 'awesome', 'performance', 'camera', 'speed', 'sounds', 'all', 'are', 'fine', 'a', 'great', 'phone', 'for', 'everyone..', 'must', 'buy']","['mind', 'blowing', 'phone', 'awesome', 'performance', 'camera', 'speed', 'sounds', 'fine', 'great', 'phone', 'everyone..', 'must', 'buy']","[('mind', 'NN'), ('blowing', 'VBG'), ('phone', 'NN'), ('awesome', 'JJ'), ('performance', 'NN'), ('camera', 'NN'), ('speed', 'NN'), ('sounds', 'VBZ'), ('fine', 'JJ'), ('great', 'JJ'), ('phone', 'NN'), ('everyone..', 'NN'), ('must', 'MD'), ('buy', 'VB')]","[('mind', 'n'), ('blowing', 'v'), ('phone', 'n'), ('awesome', 'a'), ('performance', 'n'), ('camera', 'n'), ('speed', 'n'), ('sounds', 'v'), ('fine', 'a'), ('great', 'a'), ('phone', 'n'), ('everyone..', 'n'), ('must', 'n'), ('buy', 'v')]","['mind', 'blow', 'phone', 'awesome', 'performance', 'camera', 'speed', 'sound', 'fine', 'great', 'phone', 'everyone..', 'must', 'buy']"
135,5,Best,['Best'],Best,['Best'],['best'],['best'],['best'],"[('best', 'JJS')]","[('best', 'a')]",['best']
136,4,Value for money product,"['Value', 'for', 'money', 'product']",Value for money product,"['Value', 'for', 'money', 'product']","['value', 'for', 'money', 'product']","['value', 'for', 'money', 'product']","['value', 'money', 'product']","[('value', 'NN'), ('money', 'NN'), ('product', 'NN')]","[('value', 'n'), ('money', 'n'), ('product', 'n')]","['value', 'money', 'product']"
137,5,Everything is Fine and good condition... Thanks 😘,"['Everything', 'is', 'Fine', 'and', 'good', 'condition...', 'Thanks', '😘']",Everything is Fine and good condition... Thanks 😘,"['Everything', 'is', 'Fine', 'and', 'good', 'condition', '...', 'Thanks', '😘']","['everything', 'is', 'fine', 'and', 'good', 'condition', '...', 'thanks', '😘']","['everything', 'is', 'fine', 'and', 'good', 'condition', '...', 'thanks', '😘']","['everything', 'fine', 'good', 'condition', '...', 'thanks', '😘']","[('everything', 'NN'), ('fine', 'JJ'), ('good', 'JJ'), ('condition', 'NN'), ('...', ':'), ('thanks', 'NNS'), ('😘', 'VBP')]","[('everything', 'n'), ('fine', 'a'), ('good', 'a'), ('condition', 'n'), ('...', 'n'), ('thanks', 'n'), ('😘', 'v')]","['everything', 'fine', 'good', 'condition', '...', 'thanks', '😘']"
138,5,Good all thump mobile supee,"['Good', 'all', 'thump', 'mobile', 'supee']",Good all thump mobile supee,"['Good', 'all', 'thump', 'mobile', 'supee']","['good', 'all', 'thump', 'mobile', 'supee']","['good', 'all', 'thump', 'mobile', 'supee']","['good', 'thump', 'mobile', 'supee']","[('good', 'JJ'), ('thump', 'NN'), ('mobile', 'NN'), ('supee', 'NN')]","[('good', 'a'), ('thump', 'n'), ('mobile', 'n'), ('supee', 'n')]","['good', 'thump', 'mobile', 'supee']"
139,4,I use this phone last one day,"['I', 'use', 'this', 'phone', 'last', 'one', 'day']",I use this phone last one day,"['I', 'use', 'this', 'phone', 'last', 'one', 'day']","['i', 'use', 'this', 'phone', 'last', 'one', 'day']","['i', 'use', 'this', 'phone', 'last', 'one', 'day']","['use', 'phone', 'last', 'one', 'day']","[('use', 'NN'), ('phone', 'NN'), ('last', 'JJ'), ('one', 'CD'), ('day', 'NN')]","[('use', 'n'), ('phone', 'n'), ('last', 'a'), ('one', 'n'), ('day', 'n')]","['use', 'phone', 'last', 'one', 'day']"
140,5,Nice one,"['Nice', 'one']",Nice one,"['Nice', 'one']","['nice', 'one']","['nice', 'one']","['nice', 'one']","[('nice', 'JJ'), ('one', 'CD')]","[('nice', 'a'), ('one', 'n')]","['nice', 'one']"
141,5,Nice product tq flipkart,"['Nice', 'product', 'tq', 'flipkart']",Nice product tq flipkart,"['Nice', 'product', 'tq', 'flipkart']","['nice', 'product', 'tq', 'flipkart']","['nice', 'product', 'tq', 'flipkart']","['nice', 'product', 'tq', 'flipkart']","[('nice', 'JJ'), ('product', 'NN'), ('tq', 'NNS'), ('flipkart', 'VBP')]","[('nice', 'a'), ('product', 'n'), ('tq', 'n'), ('flipkart', 'v')]","['nice', 'product', 'tq', 'flipkart']"
142,5,"Nice mobile...value for money.,,","['Nice', 'mobile...value', 'for', 'money.,,']","Nice mobile...value for money.,,","['Nice', 'mobile', '...', 'value', 'for', 'money.', ',', ',']","['nice', 'mobile', '...', 'value', 'for', 'money.', ',', ',']","['nice', 'mobile', '...', 'value', 'for', 'money.']","['nice', 'mobile', '...', 'value', 'money.']","[('nice', 'JJ'), ('mobile', 'NN'), ('...', ':'), ('value', 'NN'), ('money.', 'NN')]","[('nice', 'a'), ('mobile', 'n'), ('...', 'n'), ('value', 'n'), ('money.', 'n')]","['nice', 'mobile', '...', 'value', 'money.']"
143,5,Good product,"['Good', 'product']",Good product,"['Good', 'product']","['good', 'product']","['good', 'product']","['good', 'product']","[('good', 'JJ'), ('product', 'NN')]","[('good', 'a'), ('product', 'n')]","['good', 'product']"
144,5,Best phone,"['Best', 'phone']",Best phone,"['Best', 'phone']","['best', 'phone']","['best', 'phone']","['best', 'phone']","[('best', 'JJS'), ('phone', 'NN')]","[('best', 'a'), ('phone', 'n')]","['best', 'phone']"
